redshift_derivative_order,ell,s_Mpc_h,value,jackknife_sigma
1.000000000000000000e+00,2.000000000000000000e+00,1.180000000000000000e+02,-4.186899244408158645e-04,5.593691317327096485e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.220000000000000000e+02,1.186189427135821107e-03,5.287422428256056441e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.260000000000000000e+02,1.325393185497483056e-04,5.647279602436171969e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.300000000000000000e+02,1.341120852242362084e-03,5.330390286577237589e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.340000000000000000e+02,8.512600297673085775e-04,5.461440872690251358e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.380000000000000000e+02,1.267943980970045320e-03,5.518294236627776378e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.420000000000000000e+02,1.638885701506571663e-03,5.441479060878962395e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.460000000000000000e+02,-1.979233089389470599e-03,5.050273444429777790e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+02,-2.249393193989996081e-04,5.125757656682892842e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.540000000000000000e+02,-8.564393586779814847e-04,4.631173762564814826e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.580000000000000000e+02,2.390871588445198960e-03,4.341896626850633503e-03
1.000000000000000000e+00,4.000000000000000000e+00,4.200000000000000000e+01,-2.091574398458220449e-02,1.110747873760565933e-02
1.000000000000000000e+00,4.000000000000000000e+00,4.600000000000000000e+01,-1.826394843919144917e-02,1.096396755255517851e-02
1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+01,-2.007910765315532031e-02,1.162945263162967757e-02
1.000000000000000000e+00,4.000000000000000000e+00,5.400000000000000000e+01,-1.433590785228468917e-02,1.084649611018754893e-02
1.000000000000000000e+00,4.000000000000000000e+00,5.800000000000000000e+01,-1.210051609244304147e-02,9.554024257214579000e-03
1.000000000000000000e+00,4.000000000000000000e+00,6.200000000000000000e+01,-1.261072987173235058e-02,9.889963332806873952e-03
1.000000000000000000e+00,4.000000000000000000e+00,6.600000000000000000e+01,-8.718481637052365868e-03,8.600864004763857443e-03
1.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+01,-7.051273303034514411e-03,8.315446579728675430e-03
1.000000000000000000e+00,4.000000000000000000e+00,7.400000000000000000e+01,-1.085094744510538799e-02,7.595265902547299400e-03
1.000000000000000000e+00,4.000000000000000000e+00,7.800000000000000000e+01,-6.814817246036218232e-03,7.834110232094114792e-03
1.000000000000000000e+00,4.000000000000000000e+00,8.200000000000000000e+01,-8.130442537832627270e-03,7.204474608435599420e-03
1.000000000000000000e+00,4.000000000000000000e+00,8.600000000000000000e+01,-1.194788834103280642e-02,7.588659916206929971e-03
1.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+01,-1.434748143907901320e-02,7.951969761243161960e-03
1.000000000000000000e+00,4.000000000000000000e+00,9.400000000000000000e+01,-1.180415318914764151e-03,8.606733272784029831e-03
1.000000000000000000e+00,4.000000000000000000e+00,9.800000000000000000e+01,-6.569371341343660867e-03,7.477966546659556984e-03
1.000000000000000000e+00,4.000000000000000000e+00,1.020000000000000000e+02,-6.354397839197440181e-03,8.017042964211526859e-03
1.000000000000000000e+00,4.000000000000000000e+00,1.060000000000000000e+02,-1.030554164021430658e-02,7.567716894174322632e-03
1.000000000000000000e+00,4.000000000000000000e+00,1.100000000000000000e+02,1.979477228968676370e-03,7.289736702250983712e-03
1.000000000000000000e+00,4.000000000000000000e+00,1.140000000000000000e+02,3.267586051588219648e-03,7.215855346050061188e-03
1.000000000000000000e+00,4.000000000000000000e+00,1.180000000000000000e+02,3.133147080942254824e-03,6.808695014920015769e-03
1.000000000000000000e+00,4.000000000000000000e+00,1.220000000000000000e+02,2.100363054683724619e-03,6.984205946562287159e-03
1.000000000000000000e+00,4.000000000000000000e+00,1.260000000000000000e+02,5.482462862203649201e-03,6.753607976080060540e-03
1.000000000000000000e+00,4.000000000000000000e+00,1.300000000000000000e+02,-1.163263973479897705e-03,6.811917871357191928e-03
1.000000000000000000e+00,4.000000000000000000e+00,1.340000000000000000e+02,-3.826955028709054605e-03,5.937479828858689863e-03
1.000000000000000000e+00,4.000000000000000000e+00,1.380000000000000000e+02,-1.349882518433560136e-04,5.815372733728873741e-03
1.000000000000000000e+00,4.000000000000000000e+00,1.420000000000000000e+02,-6.021604861430481480e-04,5.410231887854308891e-03
1.000000000000000000e+00,4.000000000000000000e+00,1.460000000000000000e+02,4.373694211427489251e-03,5.447177087135057078e-03
1.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+02,2.992385792490784117e-03,4.984647867519436532e-03
