quantity_index,z,p2p5,p16,median,p84,p97p5
0.000000000000000000e+00,5.866666666666666696e-01,1.222711891346063950e+01,1.329023681746902241e+01,1.425459981028267187e+01,1.492407831376237937e+01,1.571937894681038728e+01
0.000000000000000000e+00,5.913333333333333774e-01,1.235569009071562263e+01,1.342501150433256285e+01,1.434470479317178970e+01,1.499381086532235585e+01,1.577958180810819755e+01
0.000000000000000000e+00,5.960000000000000853e-01,1.248667378991497046e+01,1.355885660234555701e+01,1.442715214128196699e+01,1.506430829665260340e+01,1.580412379741786921e+01
0.000000000000000000e+00,6.006666666666666821e-01,1.261029965106021500e+01,1.367255349768446315e+01,1.451695103511048757e+01,1.513951246974241904e+01,1.583476881004968106e+01
0.000000000000000000e+00,6.053333333333333899e-01,1.273419463868245138e+01,1.379837306989384338e+01,1.459898354689026689e+01,1.521416092662108888e+01,1.586968377835867550e+01
0.000000000000000000e+00,6.100000000000000977e-01,1.287410134916026827e+01,1.390525254339315531e+01,1.468669085770523708e+01,1.530386725949317928e+01,1.591698577844552354e+01
0.000000000000000000e+00,6.146666666666666945e-01,1.301566092016353338e+01,1.403538577743987936e+01,1.477387325099328130e+01,1.538384402952974384e+01,1.595682892231551975e+01
0.000000000000000000e+00,6.193333333333334023e-01,1.316560176713972297e+01,1.413547311443381815e+01,1.486527281366700848e+01,1.546776254784161786e+01,1.601099834246982212e+01
0.000000000000000000e+00,6.240000000000001101e-01,1.331807922750823181e+01,1.423250911761211235e+01,1.494719577191681736e+01,1.554093577317980568e+01,1.609235851296701725e+01
0.000000000000000000e+00,6.286666666666667069e-01,1.347182039868635961e+01,1.433461607989517539e+01,1.503411088353386305e+01,1.562048102816042672e+01,1.615141398969315034e+01
0.000000000000000000e+00,6.333333333333334147e-01,1.360161266583228290e+01,1.443142367870800058e+01,1.513678158038181287e+01,1.569502092170314000e+01,1.623459304530340930e+01
0.000000000000000000e+00,6.380000000000000115e-01,1.372539089129052670e+01,1.454107245563797690e+01,1.524339099264586217e+01,1.577274518131384440e+01,1.631218609472111680e+01
0.000000000000000000e+00,6.426666666666667194e-01,1.385181923065041687e+01,1.463709936963728353e+01,1.533882853737973662e+01,1.586297760656054656e+01,1.638355341576535906e+01
0.000000000000000000e+00,6.473333333333333162e-01,1.397108244367720253e+01,1.473296347042926158e+01,1.542827343477921431e+01,1.594356207691670946e+01,1.643392040534115139e+01
0.000000000000000000e+00,6.520000000000000240e-01,1.409608461023892190e+01,1.483256481202909249e+01,1.551347601048371061e+01,1.602612601645280677e+01,1.652875852418632974e+01
0.000000000000000000e+00,6.566666666666667318e-01,1.422248680530696063e+01,1.492901925884125092e+01,1.560626803036466193e+01,1.610999697159549982e+01,1.658896494124032728e+01
0.000000000000000000e+00,6.613333333333333286e-01,1.434813026967029792e+01,1.501598266730445097e+01,1.569393285224721879e+01,1.617989395901093985e+01,1.663803137619965256e+01
0.000000000000000000e+00,6.660000000000000364e-01,1.450028068622890132e+01,1.510437015123618210e+01,1.579336364403178905e+01,1.627066590381854994e+01,1.670675139385063801e+01
0.000000000000000000e+00,6.706666666666667442e-01,1.461871397795231431e+01,1.520786361980217904e+01,1.588085003445980803e+01,1.636333613652160324e+01,1.680564312995166887e+01
0.000000000000000000e+00,6.753333333333333410e-01,1.470163034244867362e+01,1.529858072485677845e+01,1.597002988388202738e+01,1.644830219689527340e+01,1.688202573844676380e+01
0.000000000000000000e+00,6.800000000000000488e-01,1.482790821980894869e+01,1.540350316898097560e+01,1.605462530815184863e+01,1.654498740176296678e+01,1.695907162358092890e+01
0.000000000000000000e+00,6.846666666666667567e-01,1.495130813660651015e+01,1.550861476780965909e+01,1.613171542086645616e+01,1.663221779831357949e+01,1.705258962938927780e+01
0.000000000000000000e+00,6.893333333333333535e-01,1.507507298840118182e+01,1.560738278352863162e+01,1.621528562700767040e+01,1.669921648240504553e+01,1.713571878022758455e+01
0.000000000000000000e+00,6.940000000000000613e-01,1.519427940100613483e+01,1.570881638579260731e+01,1.630141003444367698e+01,1.681048453436591572e+01,1.721058709554029420e+01
0.000000000000000000e+00,6.986666666666667691e-01,1.532401739792674000e+01,1.582884342619837348e+01,1.639220995424778238e+01,1.690366707508658095e+01,1.730596872936877872e+01
0.000000000000000000e+00,7.033333333333333659e-01,1.541481579266590352e+01,1.593258112740362442e+01,1.648660925079299844e+01,1.700075971249696849e+01,1.740296390734281928e+01
0.000000000000000000e+00,7.080000000000000737e-01,1.551657813592246704e+01,1.604656877233675871e+01,1.657580477995123402e+01,1.709608636557834416e+01,1.750990870242170772e+01
0.000000000000000000e+00,7.126666666666667815e-01,1.562262616737249310e+01,1.614489569965667926e+01,1.666818022755590789e+01,1.719625574679031033e+01,1.761832101508739967e+01
0.000000000000000000e+00,7.173333333333333783e-01,1.571688278663624772e+01,1.623546327400661582e+01,1.675779723604901505e+01,1.729380270460055158e+01,1.769865799830058251e+01
0.000000000000000000e+00,7.219999999999999751e-01,1.583292111366684018e+01,1.632395601709658095e+01,1.684344144096080242e+01,1.738890283588331087e+01,1.777538999779565998e+01
0.000000000000000000e+00,7.266666666666667940e-01,1.593344176838735748e+01,1.641287544975781287e+01,1.693301668295744378e+01,1.749218804166325114e+01,1.787792726814191013e+01
0.000000000000000000e+00,7.313333333333333908e-01,1.603506018471486527e+01,1.650973867801408090e+01,1.702651232016432914e+01,1.758722456170334070e+01,1.797035238482937913e+01
0.000000000000000000e+00,7.359999999999999876e-01,1.613401091068345394e+01,1.660646556478781832e+01,1.712161910047503710e+01,1.767739258488209586e+01,1.807707401560828586e+01
0.000000000000000000e+00,7.406666666666666954e-01,1.623375460489492639e+01,1.669317197941685649e+01,1.721287613354317259e+01,1.776665979025773368e+01,1.816296197988563677e+01
0.000000000000000000e+00,7.453333333333334032e-01,1.634234536484498790e+01,1.678150196896577029e+01,1.730395588928983486e+01,1.786957258799843018e+01,1.826414899612772658e+01
0.000000000000000000e+00,7.500000000000000000e-01,1.643632565848858107e+01,1.687632754336510388e+01,1.739213070234358227e+01,1.796628432559965560e+01,1.837010146026743485e+01
0.000000000000000000e+00,7.546666666666667078e-01,1.652259907632823754e+01,1.696745745281479145e+01,1.747971143411412953e+01,1.806970799208545131e+01,1.847282937459668872e+01
0.000000000000000000e+00,7.593333333333334156e-01,1.661039041685584650e+01,1.705965885470290289e+01,1.756849384758285737e+01,1.817011180815328331e+01,1.857383376841928069e+01
