quantity_index,z,p2p5,p16,median,p84,p97p5
4.000000000000000000e+00,7.593333333333334156e-01,-2.934108655782168995e+01,-5.280190914453270601e+00,1.487341656675675061e+01,3.371243566412810111e+01,5.407571813970667307e+01
4.000000000000000000e+00,7.640000000000000124e-01,-2.955449059366452147e+01,-5.228757664841017672e+00,1.527591240977351816e+01,3.438466736595077577e+01,5.508944785459348026e+01
4.000000000000000000e+00,7.686666666666667203e-01,-2.976536181340934917e+01,-5.156074509822429874e+00,1.562276637385920353e+01,3.506304041339876676e+01,5.611452426198624721e+01
4.000000000000000000e+00,7.733333333333334281e-01,-2.997368445808115567e+01,-5.134857269155847170e+00,1.603279006936037376e+01,3.574593275875184162e+01,5.715132179811308788e+01
4.000000000000000000e+00,7.780000000000000249e-01,-3.015298174251761765e+01,-5.063014348281665633e+00,1.647464521890813671e+01,3.643351882586083690e+01,5.820021903705259092e+01
4.000000000000000000e+00,7.826666666666667327e-01,-3.030768239262690500e+01,-4.990898943326894432e+00,1.682643777066672186e+01,3.712597409176402152e+01,5.926159888288761124e+01
4.000000000000000000e+00,7.873333333333334405e-01,-3.046000026400456662e+01,-4.940945100473400409e+00,1.719993782108954150e+01,3.782347514842431480e+01,6.033584876407180531e+01
4.000000000000000000e+00,7.920000000000000373e-01,-3.060992868653964649e+01,-4.824012326588956512e+00,1.760407289929390373e+01,3.852619976484670161e+01,6.142336083013559289e+01
4.000000000000000000e+00,7.966666666666667451e-01,-3.080406714707741855e+01,-4.692937315809502685e+00,1.804205312132823025e+01,3.923432690653871902e+01,6.252453209138171530e+01
4.000000000000000000e+00,8.013333333333334529e-01,-3.104058947542091573e+01,-4.606181106287287719e+00,1.846647432493542951e+01,3.994803692823277430e+01,6.363976479974456879e+01
4.000000000000000000e+00,8.060000000000000497e-01,-3.127430339058290798e+01,-4.527161052370091809e+00,1.885476329129901529e+01,4.066751150696419614e+01,6.476946647350320063e+01
4.000000000000000000e+00,8.106666666666666465e-01,-3.150518747437054401e+01,-4.426432467677609672e+00,1.924428202095143092e+01,4.139293374963621375e+01,6.591405016480672430e+01
4.000000000000000000e+00,8.153333333333334654e-01,-3.173322066501276595e+01,-4.286187387548140215e+00,1.964215098542308979e+01,4.212448825745689618e+01,6.707393467002583520e+01
4.000000000000000000e+00,8.200000000000000622e-01,-3.191667724108644322e+01,-4.181332317079266225e+00,2.003103931127235171e+01,4.286236119092551888e+01,6.824954474323612885e+01
4.000000000000000000e+00,8.246666666666666590e-01,-3.201188146152743030e+01,-4.044691491458937804e+00,2.044708943728631922e+01,4.360674033539805805e+01,6.944131131297388038e+01
4.000000000000000000e+00,8.293333333333333668e-01,-3.210472150176653372e+01,-3.931611285940219247e+00,2.086531474951545917e+01,4.435781516726044060e+01,7.064967170240456085e+01
4.000000000000000000e+00,8.340000000000000746e-01,-3.219519667040202648e+01,-3.853332803637995241e+00,2.127932305770801236e+01,4.511577692073977630e+01,7.187506985304902685e+01
4.000000000000000000e+00,8.386666666666666714e-01,-3.228330647477680770e+01,-3.783438943716097569e+00,2.165693267786478771e+01,4.588081861468852196e+01,7.311795649531080699e+01
4.000000000000000000e+00,8.433333333333333792e-01,-3.241344105377697815e+01,-3.688882105235974151e+00,2.207693444704841568e+01,4.665313524332238870e+01,7.436300831604890504e+01
4.000000000000000000e+00,8.480000000000000870e-01,-3.260076712314955216e+01,-3.580399216935215456e+00,2.251312551278849483e+01,4.743292372207469043e+01,7.561827462373931041e+01
4.000000000000000000e+00,8.526666666666666838e-01,-3.278525044529521182e+01,-3.495798625728100628e+00,2.295090208802214349e+01,4.822642045962819424e+01,7.689311618285668715e+01
4.000000000000000000e+00,8.573333333333333917e-01,-3.299432517312195756e+01,-3.450013076850781513e+00,2.339034168780974454e+01,4.902800711105847853e+01,7.818806141911673535e+01
4.000000000000000000e+00,8.620000000000000995e-01,-3.322008420915726390e+01,-3.358086410629935514e+00,2.383152202706781964e+01,4.983773977609986616e+01,7.950364753031976761e+01
4.000000000000000000e+00,8.666666666666666963e-01,-3.350444098100791734e+01,-3.306707323699987988e+00,2.426707795295925862e+01,5.065583460005460381e+01,8.084257049424840602e+01
4.000000000000000000e+00,8.713333333333334041e-01,-3.379807394900076645e+01,-3.254437192197716211e+00,2.470028910005541789e+01,5.148251010257686033e+01,8.221541361641936874e+01
4.000000000000000000e+00,8.760000000000001119e-01,-3.408832165641911160e+01,-3.176703501990430389e+00,2.513549947589055833e+01,5.231798725861477806e+01,8.360930962253675602e+01
4.000000000000000000e+00,8.806666666666667087e-01,-3.429621193480230090e+01,-3.099104244073137782e+00,2.557277687350486417e+01,5.316248953956333168e+01,8.502476879252562014e+01
4.000000000000000000e+00,8.853333333333334165e-01,-3.446326430975182120e+01,-3.025457408474562460e+00,2.601218945273323158e+01,5.401624311905098352e+01,8.646231058811515879e+01
4.000000000000000000e+00,8.900000000000001243e-01,-3.470598211414818479e+01,-2.957128675019343511e+00,2.645380567339728017e+01,5.487947683373834451e+01,8.792246375605677144e+01
4.000000000000000000e+00,8.946666666666667211e-01,-3.500654471866549500e+01,-2.888900061881651826e+00,2.690598792398740358e+01,5.573954984403682289e+01,8.940576665446764082e+01
4.000000000000000000e+00,8.993333333333333179e-01,-3.514276866751923478e+01,-2.784049996282322414e+00,2.737200618857106349e+01,5.660599450280219713e+01,9.091276753029124791e+01
4.000000000000000000e+00,9.040000000000000258e-01,-3.527605061637046902e+01,-2.674471664307604524e+00,2.783254323819219067e+01,5.748221471372563940e+01,9.244402480256027843e+01
4.000000000000000000e+00,9.086666666666667336e-01,-3.540638292279766830e+01,-2.565177784930079863e+00,2.826944626476120348e+01,5.836842761099205745e+01,9.400010735164865139e+01
4.000000000000000000e+00,9.133333333333334414e-01,-3.553375827721649216e+01,-2.456165021967545048e+00,2.870882344662301833e+01,5.926485318375322464e+01,9.558159481470647734e+01
4.000000000000000000e+00,9.180000000000000382e-01,-3.568273950516585558e+01,-2.348528427891982240e+00,2.917498079439698699e+01,6.017171435248268807e+01,9.718907788747361565e+01
4.000000000000000000e+00,9.226666666666667460e-01,-3.586689493876680501e+01,-2.244891440597716947e+00,2.964496254496283711e+01,6.108923701081153723e+01,9.882315857922583291e+01
4.000000000000000000e+00,9.273333333333334538e-01,-3.604773559530754312e+01,-2.179995442589677701e+00,3.008682917804921786e+01,6.201765021158100666e+01,1.004844506883726751e+02
4.000000000000000000e+00,9.320000000000000506e-01,-3.623288404698780596e+01,-2.147322176833450502e+00,3.053899178630080868e+01,6.295718613920153217e+01,1.021735799641249685e+02
4.000000000000000000e+00,9.366666666666667584e-01,-3.642622873797863292e+01,-2.092021962258201473e+00,3.100649198664012829e+01,6.390808022685727252e+01,1.038911844894433045e+02
4.000000000000000000e+00,9.413333333333333552e-01,-3.661610877451461477e+01,-2.006435597384879976e+00,3.147697462951268221e+01,6.487057123905515255e+01,1.056379150178770914e+02
4.000000000000000000e+00,9.460000000000000631e-01,-3.680250789397281608e+01,-1.906201932442918245e+00,3.195051324204540677e+01,6.584797750996375498e+01,1.074144353180722220e+02
4.000000000000000000e+00,9.506666666666667709e-01,-3.698541030644543071e+01,-1.835506423471080728e+00,3.242718187206714475e+01,6.684489821152558875e+01,1.092214225261804330e+02
4.000000000000000000e+00,9.553333333333333677e-01,-3.716480069661045604e+01,-1.740803478497674028e+00,3.290705510382294818e+01,6.786548241693384398e+01,1.110690983298567858e+02
4.000000000000000000e+00,9.600000000000000755e-01,-3.734066422552183440e+01,-1.614204059779599465e+00,3.339020807382613754e+01,6.889943599041485811e+01,1.129613792049731842e+02
4.000000000000000000e+00,9.646666666666667833e-01,-3.751298652458719118e+01,-1.509321679859097154e+00,3.387671646313284413e+01,6.994704791178735093e+01,1.148890445734871832e+02
4.000000000000000000e+00,9.693333333333333801e-01,-3.768175372075524621e+01,-1.411008622950310265e+00,3.435805784478844060e+01,7.100861165315725998e+01,1.168529342544414931e+02
4.000000000000000000e+00,9.740000000000000879e-01,-3.784695241413614042e+01,-1.312902314574410756e+00,3.485860338562380178e+01,7.208442517824447293e+01,1.188539064134334069e+02
4.000000000000000000e+00,9.786666666666666847e-01,-3.800856968756288268e+01,-1.218191283120290569e+00,3.535714020265915991e+01,7.317627951824705690e+01,1.208928381493900872e+02
4.000000000000000000e+00,9.833333333333333925e-01,-3.816659310797282956e+01,-1.129144426855370309e+00,3.585783934632780046e+01,7.428331958213298947e+01,1.229706260354680154e+02
4.000000000000000000e+00,9.880000000000001004e-01,-3.832101072770630878e+01,-1.019796929565558008e+00,3.636817251495951098e+01,7.540564092231151960e+01,1.250881866736312134e+02
4.000000000000000000e+00,9.926666666666666972e-01,-3.847181108572213759e+01,-9.404193234461626361e-01,3.688479067050356264e+01,7.654356350787406882e+01,1.272464572633523687e+02
4.000000000000000000e+00,9.973333333333334050e-01,-3.861898320872970203e+01,-8.676157479177766252e-01,3.740541542135525788e+01,7.769741251521796244e+01,1.294463961848928761e+02
4.000000000000000000e+00,1.002000000000000224e+00,-3.872370436779944924e+01,-7.949143793543377301e-01,3.793013480714290608e+01,7.886751845767790314e+01,1.316889835976301413e+02
4.000000000000000000e+00,1.006666666666666821e+00,-3.881898265372776535e+01,-7.223141902908725154e-01,3.844216839450540846e+01,8.005421728031672046e+01,1.339752219943257501e+02
4.000000000000000000e+00,1.011333333333333417e+00,-3.891082634860595135e+01,-6.498141220696370679e-01,3.895719492053559918e+01,8.125785060651871561e+01,1.363061370095254006e+02
4.000000000000000000e+00,1.016000000000000014e+00,-3.899923263156421172e+01,-5.774131069182310005e-01,3.947634479571896549e+01,8.247876576299553619e+01,1.386760687334698332e+02
4.000000000000000000e+00,1.020666666666666611e+00,-3.908419910509902451e+01,-4.813904213665370913e-01,4.000494559786005766e+01,8.371731595705904283e+01,1.410558048659522683e+02
4.000000000000000000e+00,1.025333333333333430e+00,-3.912975337716052593e+01,-3.730623864953007685e-01,4.052732527263480478e+01,8.497386041917056332e+01,1.434799296206040822e+02
4.000000000000000000e+00,1.030000000000000027e+00,-3.916167212891036797e+01,-2.649930382195830325e-01,4.105931308877063657e+01,8.624876454828813621e+01,1.459494402667549480e+02
4.000000000000000000e+00,1.034666666666666845e+00,-3.919031963208800562e+01,-1.571780070857111411e-01,4.159573871513393328e+01,8.754240006008879504e+01,1.484653563276546606e+02
4.000000000000000000e+00,1.039333333333333442e+00,-3.921570180964469898e+01,-4.961292406050826082e-02,4.213668270672341265e+01,8.885514513814059967e+01,1.510287201656389016e+02
4.000000000000000000e+00,1.044000000000000039e+00,-3.923782494853561786e+01,5.770657934460894645e-02,4.268222642737776340e+01,9.018738458810547343e+01,1.536405975823255403e+02
4.000000000000000000e+00,1.048666666666666636e+00,-3.925669569910121481e+01,1.647848603482042762e-01,4.323245204666751818e+01,9.153950995820504488e+01,1.563020783770663229e+02
4.000000000000000000e+00,1.053333333333333455e+00,-3.927523396601856831e+01,2.716262967524151750e-01,4.378744261692246909e+01,9.291191981030701186e+01,1.590142771496301179e+02
4.000000000000000000e+00,1.058000000000000052e+00,-3.932257898734689405e+01,3.782352547263289066e-01,4.434728203027440685e+01,9.430501977306941797e+01,1.617783337775971404e+02
4.000000000000000000e+00,1.062666666666666870e+00,-3.936654160851009010e+01,4.783910020959339371e-01,4.491205505625352146e+01,9.571922274599197067e+01,1.645954141379198177e+02
4.000000000000000000e+00,1.067333333333333467e+00,-3.940712542437128718e+01,5.656949310960828203e-01,4.548184735946838941e+01,9.715419179107315983e+01,1.674667107891424962e+02
4.000000000000000000e+00,1.072000000000000064e+00,-3.944433442866593964e+01,6.525084856119243160e-01,4.606931388756328261e+01,9.859029875629269668e+01,1.703957327583032964e+02
4.000000000000000000e+00,1.076666666666666661e+00,-3.947817301266935175e+01,7.377440492690966467e-01,4.666477508762626769e+01,1.000478173451410129e+02,1.734119839480034670e+02
4.000000000000000000e+00,1.081333333333333258e+00,-3.950864596380355920e+01,8.228357598335811485e-01,4.726581946439709725e+01,1.015271629432466938e+02,1.764878230605270062e+02
4.000000000000000000e+00,1.086000000000000076e+00,-3.953575846418340944e+01,9.078266676988082651e-01,4.781295497381692172e+01,1.030287583748336857e+02,1.796246116632891585e+02
4.000000000000000000e+00,1.090666666666666895e+00,-3.955951608926937269e+01,9.927187357542329726e-01,4.840916120742269158e+01,1.045530340350099010e+02,1.828237434304364228e+02
4.000000000000000000e+00,1.095333333333333492e+00,-3.957992480609061658e+01,1.077513953092354537e+00,4.901092052184589676e+01,1.061004281695438181e+02,1.860866451822016359e+02
4.000000000000000000e+00,1.100000000000000089e+00,-3.959699097151248282e+01,1.166283418766603353e+00,4.961832536183680986e+01,1.076713869423024050e+02,1.894147775846057016e+02
5.000000000000000000e+00,4.000000000000000222e-01,-8.132186395882145291e+01,-6.499753363129070749e+01,-4.071410735442395179e+01,1.591880048781784573e+01,1.112847996995128881e+02
5.000000000000000000e+00,4.046666666666666745e-01,-8.229716021915857027e+01,-6.604171194924472843e+01,-4.070660334429703653e+01,1.592044319562565846e+01,1.100409761820468759e+02
5.000000000000000000e+00,4.093333333333333823e-01,-8.384921427339564559e+01,-6.690895006358604746e+01,-4.065157683124417787e+01,1.592093490224682917e+01,1.088131811007764327e+02
5.000000000000000000e+00,4.140000000000000346e-01,-8.509450664750639248e+01,-6.785943708942423314e+01,-4.066588668042002297e+01,1.592029158658817067e+01,1.076012132555838861e+02
5.000000000000000000e+00,4.186666666666666869e-01,-8.630644930277279059e+01,-6.870883415651866244e+01,-4.079705376143112971e+01,1.591852929853503618e+01,1.063874735936539651e+02
