quantity_index,z,p2p5,p16,median,p84,p97p5
1.000000000000000000e+00,9.740000000000000879e-01,1.643435163873779459e+01,1.723397307171028459e+01,1.812303723117833698e+01,1.913250189837403425e+01,2.050674749258890017e+01
1.000000000000000000e+00,9.786666666666666847e-01,1.637712715133389452e+01,1.717718709121016119e+01,1.808823892306709880e+01,1.911329186423887805e+01,2.052986976592923796e+01
1.000000000000000000e+00,9.833333333333333925e-01,1.631630923285977985e+01,1.712815838619263076e+01,1.805372109437409023e+01,1.909344057233166936e+01,2.055306410378458537e+01
1.000000000000000000e+00,9.880000000000001004e-01,1.625327559661981880e+01,1.708519515828686863e+01,1.802008871389564604e+01,1.907280920876275232e+01,2.057633102955169591e+01
1.000000000000000000e+00,9.926666666666666972e-01,1.618788807226806625e+01,1.704237838204995015e+01,1.798588679943995317e+01,1.904306858519474943e+01,2.059967106315632535e+01
1.000000000000000000e+00,9.973333333333334050e-01,1.612280102862380105e+01,1.699498187291703388e+01,1.794774220532458742e+01,1.902429167710752367e+01,2.060681261006525133e+01
1.000000000000000000e+00,1.002000000000000224e+00,1.605801320653728936e+01,1.694829668265770550e+01,1.791165063071138164e+01,1.901444814382203319e+01,2.062330656686525288e+01
1.000000000000000000e+00,1.006666666666666821e+00,1.599510216030956222e+01,1.690153818875478109e+01,1.787364798127324761e+01,1.899405898666397263e+01,2.063986604691271509e+01
1.000000000000000000e+00,1.011333333333333417e+00,1.592272822622576456e+01,1.685639832629625445e+01,1.783717237224337993e+01,1.897761884627754014e+01,2.065980337349879647e+01
1.000000000000000000e+00,1.016000000000000014e+00,1.585609222378818650e+01,1.681040560371128123e+01,1.780131634882010161e+01,1.895708045257784846e+01,2.066420719983320708e+01
1.000000000000000000e+00,1.020666666666666611e+00,1.578363652668964612e+01,1.675320801060630060e+01,1.775890126206664021e+01,1.893793629211311824e+01,2.066809850499673118e+01
1.000000000000000000e+00,1.025333333333333430e+00,1.571823148879586363e+01,1.669955079831392197e+01,1.772546525292686681e+01,1.892250118752557242e+01,2.067204258756854074e+01
1.000000000000000000e+00,1.030000000000000027e+00,1.565068883620608275e+01,1.664640656184421630e+01,1.769278372482425254e+01,1.890553829797127605e+01,2.068447647563561986e+01
1.000000000000000000e+00,1.034666666666666845e+00,1.559386362171211182e+01,1.659060414853433230e+01,1.766003213751874057e+01,1.889416436754184758e+01,2.069757391874422936e+01
1.000000000000000000e+00,1.039333333333333442e+00,1.553662232349986816e+01,1.654034160940802778e+01,1.762676674897045359e+01,1.888077385130689123e+01,2.071073265344245584e+01
1.000000000000000000e+00,1.044000000000000039e+00,1.548181283395925334e+01,1.649486694446716228e+01,1.759692249120502083e+01,1.886000049601217299e+01,2.072395306051000574e+01
1.000000000000000000e+00,1.048666666666666636e+00,1.542699239046961424e+01,1.644579728267780183e+01,1.755939943615692300e+01,1.884771395412712991e+01,2.073723553202785652e+01
1.000000000000000000e+00,1.053333333333333455e+00,1.536949000558076328e+01,1.639724023100801276e+01,1.752122503938026199e+01,1.883815633603222039e+01,2.075058042621211030e+01
1.000000000000000000e+00,1.058000000000000052e+00,1.531104505343741451e+01,1.635795875692238255e+01,1.748532708974915195e+01,1.881739407030957167e+01,2.076398811266282962e+01
1.000000000000000000e+00,1.062666666666666870e+00,1.525147400070208903e+01,1.630116185445659127e+01,1.745176530230598289e+01,1.879874405900050149e+01,2.077956107219323201e+01
1.000000000000000000e+00,1.067333333333333467e+00,1.519660799035205123e+01,1.624878402266363864e+01,1.741441416120356322e+01,1.878122286959063914e+01,2.079600116537198318e+01
1.000000000000000000e+00,1.072000000000000064e+00,1.514210202824907725e+01,1.620579209871746684e+01,1.738160717529251542e+01,1.876329859414124002e+01,2.079753825373102671e+01
