order,ell,s_Mpc_h,s2_measurement,s2_jackknife_sigma,s2_model
2.000000000000000000e+00,0.000000000000000000e+00,7.600000000000000000e+01,-4.370900184010930190e+01,2.324309948466236335e+02,2.449190684506561411e-01
2.000000000000000000e+00,0.000000000000000000e+00,8.400000000000000000e+01,7.526071481801145069e+01,2.478581100828089347e+02,1.114163168789283702e+02
2.000000000000000000e+00,0.000000000000000000e+00,9.200000000000000000e+01,2.213376939798398553e+02,2.750832616077853459e+02,3.289952366059380324e+02
2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,5.028751871745953963e+02,3.121894319128817870e+02,5.001503686479449584e+02
2.000000000000000000e+00,0.000000000000000000e+00,1.080000000000000000e+02,4.511477109069245444e+02,3.472681757769018418e+02,4.637229926875567116e+02
2.000000000000000000e+00,0.000000000000000000e+00,1.160000000000000000e+02,1.496199776560185626e+02,4.043820334124308715e+02,3.845486281369500148e+02
2.000000000000000000e+00,0.000000000000000000e+00,1.240000000000000000e+02,2.362777531996583775e+02,3.913486002123399885e+02,3.626385744125968813e+02
2.000000000000000000e+00,0.000000000000000000e+00,1.320000000000000000e+02,3.388216225677677471e+02,4.228391607980943832e+02,3.768180798004831900e+02
2.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+02,5.867355222427061108e+02,4.607010992435032790e+02,4.033173717806222953e+02
2.000000000000000000e+00,0.000000000000000000e+00,1.480000000000000000e+02,3.740291058982833761e+02,4.428353933673487859e+02,4.310598362324857362e+02
2.000000000000000000e+00,2.000000000000000000e+00,5.200000000000000000e+01,1.977904672596853857e+02,2.920410656928557955e+02,1.083334175103406380e+02
2.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+01,1.108832481286510330e+02,3.317021183678671719e+02,9.825190698739825734e+01
2.000000000000000000e+00,2.000000000000000000e+00,6.800000000000000000e+01,-4.209736836969847786e+02,3.972306565833206378e+02,1.065929118210227386e+02
2.000000000000000000e+00,2.000000000000000000e+00,7.600000000000000000e+01,2.096958798409694964e+02,4.391955840737736594e+02,1.154794317765209257e+02
2.000000000000000000e+00,2.000000000000000000e+00,8.400000000000000000e+01,8.854510370891023285e+01,5.218609686509439598e+02,6.017541634009995732e+01
2.000000000000000000e+00,2.000000000000000000e+00,9.200000000000000000e+01,-3.865841220738473538e+01,6.346273989303255121e+02,-4.837395114096960924e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+02,7.136073645024843017e+02,6.721140002070854962e+02,1.728892989256485180e+02
2.000000000000000000e+00,2.000000000000000000e+00,1.080000000000000000e+02,1.971650552475949098e+03,8.244616603519334603e+02,7.279674077776628565e+02
2.000000000000000000e+00,2.000000000000000000e+00,1.160000000000000000e+02,1.556635180093393501e+03,8.697269709626654048e+02,1.020429156919320462e+03
2.000000000000000000e+00,2.000000000000000000e+00,1.240000000000000000e+02,1.644435370842164275e+03,9.323780089714098267e+02,1.011591561366311794e+03
2.000000000000000000e+00,2.000000000000000000e+00,1.320000000000000000e+02,1.323148021791565043e+03,9.851031711182470190e+02,9.864854138158596015e+02
2.000000000000000000e+00,2.000000000000000000e+00,1.400000000000000000e+02,1.193138460943017208e+03,1.150740031561839032e+03,1.057756932713474725e+03
2.000000000000000000e+00,2.000000000000000000e+00,1.480000000000000000e+02,8.997558235827125372e+02,1.347331771560075367e+03,1.216600581440460701e+03
