z,W_first,W_second
5.010000000000000009e-01,8.739002295450437607e-01,5.274666295057376386e-01
5.015000000000000568e-01,8.739002295450437607e-01,5.326659665774816643e-01
5.020000000000000018e-01,8.739002295450437607e-01,5.378653036492244688e-01
5.025000000000000577e-01,8.739002295450437607e-01,5.430646407209683835e-01
5.030000000000000027e-01,8.739002295450437607e-01,5.482639777927111879e-01
5.035000000000000586e-01,8.739002295450437607e-01,5.534633148644551026e-01
5.040000000000000036e-01,8.739002295450437607e-01,5.586626519361980181e-01
5.045000000000000595e-01,8.739002295450437607e-01,5.638619890079419328e-01
5.050000000000000044e-01,9.697326029139105019e-01,5.690613260796847372e-01
5.055000000000000604e-01,9.697326029139105019e-01,5.746182794532644911e-01
5.060000000000000053e-01,9.697326029139105019e-01,5.801752328268428016e-01
5.065000000000000613e-01,9.697326029139105019e-01,5.857321862004225554e-01
5.070000000000000062e-01,9.697326029139105019e-01,5.912891395740009770e-01
5.075000000000000622e-01,9.697326029139105019e-01,5.968460929475806198e-01
5.080000000000000071e-01,9.697326029139105019e-01,6.024030463211591524e-01
5.085000000000000631e-01,9.697326029139105019e-01,6.079599996947386842e-01
5.090000000000000080e-01,9.697326029139105019e-01,6.135169530683172168e-01
5.095000000000000639e-01,9.697326029139105019e-01,6.190739064418968596e-01
5.100000000000000089e-01,9.697326029139105019e-01,6.246308598154752811e-01
5.105000000000000648e-01,9.697326029139105019e-01,6.301878131890550350e-01
5.110000000000000098e-01,9.697326029139105019e-01,6.357447665626334565e-01
5.115000000000000657e-01,9.697326029139105019e-01,6.413017199362130993e-01
5.120000000000000107e-01,9.697326029139105019e-01,6.468586733097915209e-01
5.125000000000000666e-01,9.697326029139105019e-01,6.524156266833711637e-01
5.130000000000000115e-01,9.697326029139105019e-01,6.579725800569495853e-01
5.135000000000000675e-01,9.697326029139105019e-01,6.635295334305293391e-01
5.140000000000000124e-01,9.697326029139105019e-01,6.690864868041077607e-01
5.145000000000000684e-01,9.697326029139105019e-01,6.746434401776874035e-01
5.150000000000000133e-01,1.064568214662267476e+00,6.802003935512658250e-01
5.155000000000000693e-01,1.064568214662267476e+00,6.860654640534503690e-01
5.160000000000000142e-01,1.064568214662267476e+00,6.919305345556336917e-01
5.165000000000000702e-01,1.064568214662267476e+00,6.977956050578182357e-01
5.170000000000000151e-01,1.064568214662267476e+00,7.036606755600014473e-01
5.175000000000000711e-01,1.064568214662267476e+00,7.095257460621861023e-01
5.180000000000000160e-01,1.064568214662267476e+00,7.153908165643694250e-01
5.185000000000000719e-01,1.064568214662267476e+00,7.212558870665539690e-01
5.190000000000000169e-01,1.064568214662267476e+00,7.271209575687371807e-01
5.195000000000000728e-01,1.064568214662267476e+00,7.329860280709217246e-01
5.200000000000000178e-01,1.064568214662267476e+00,7.388510985731049363e-01
5.204999999999999627e-01,1.064568214662267476e+00,7.447161690752882590e-01
5.210000000000000187e-01,1.064568214662267476e+00,7.505812395774728030e-01
5.215000000000000746e-01,1.064568214662267476e+00,7.564463100796572359e-01
5.220000000000000195e-01,1.064568214662267476e+00,7.623113805818406696e-01
5.224999999999999645e-01,1.064568214662267476e+00,7.681764510840238813e-01
5.230000000000000204e-01,1.064568214662267476e+00,7.740415215862084253e-01
5.235000000000000764e-01,1.064568214662267476e+00,7.799065920883929692e-01
5.240000000000000213e-01,1.064568214662267476e+00,7.857716625905764030e-01
5.244999999999999662e-01,1.064568214662267476e+00,7.916367330927595036e-01
5.250000000000000222e-01,1.158194517704525195e+00,7.975018035949441586e-01
5.255000000000000782e-01,1.158194517704525195e+00,8.036244488149412168e-01
5.260000000000000231e-01,1.158194517704525195e+00,8.097470940349368318e-01
5.264999999999999680e-01,1.158194517704525195e+00,8.158697392549323357e-01
5.270000000000000240e-01,1.158194517704525195e+00,8.219923844749292829e-01
5.275000000000000799e-01,1.158194517704525195e+00,8.281150296949262302e-01
5.280000000000000249e-01,1.158194517704525195e+00,8.342376749149218451e-01
5.284999999999999698e-01,1.158194517704525195e+00,8.403603201349174601e-01
5.290000000000000258e-01,1.158194517704525195e+00,8.464829653549144073e-01
5.295000000000000817e-01,1.158194517704525195e+00,8.526056105749114655e-01
5.300000000000000266e-01,1.158194517704525195e+00,8.587282557949069695e-01
5.304999999999999716e-01,1.158194517704525195e+00,8.648509010149026954e-01
5.310000000000000275e-01,1.158194517704525195e+00,8.709735462348996426e-01
5.315000000000000835e-01,1.158194517704525195e+00,8.770961914548964788e-01
5.320000000000000284e-01,1.158194517704525195e+00,8.832188366748922048e-01
5.324999999999999734e-01,1.158194517704525195e+00,8.893414818948879308e-01
5.330000000000000293e-01,1.158194517704525195e+00,8.954641271148848780e-01
5.335000000000000853e-01,1.158194517704525195e+00,9.015867723348818252e-01
5.340000000000000302e-01,1.158194517704525195e+00,9.077094175548774402e-01
5.344999999999999751e-01,1.158194517704525195e+00,9.138320627748729441e-01
5.350000000000000311e-01,1.250554243863859716e+00,9.199547079948700024e-01
5.355000000000000870e-01,1.250554243863859716e+00,9.262843261619047031e-01
5.360000000000000320e-01,1.250554243863859716e+00,9.326139443289378494e-01
5.364999999999999769e-01,1.250554243863859716e+00,9.389435624959712179e-01
5.370000000000000329e-01,1.250554243863859716e+00,9.452731806630058076e-01
5.375000000000000888e-01,1.250554243863859716e+00,9.516027988300405083e-01
5.380000000000000338e-01,1.250554243863859716e+00,9.579324169970737657e-01
5.384999999999999787e-01,1.250554243863859716e+00,9.642620351641071341e-01
5.390000000000000346e-01,1.250554243863859716e+00,9.705916533311418348e-01
5.395000000000000906e-01,1.250554243863859716e+00,9.769212714981765355e-01
5.400000000000000355e-01,1.250554243863859716e+00,9.832508896652097929e-01
5.404999999999999805e-01,1.250554243863859716e+00,9.895805078322430504e-01
5.410000000000000364e-01,1.250554243863859716e+00,9.959101259992777511e-01
5.415000000000000924e-01,1.250554243863859716e+00,1.002239744166312452e+00
5.420000000000000373e-01,1.250554243863859716e+00,1.008569362333345598e+00
5.424999999999999822e-01,1.250554243863859716e+00,1.014898980500378967e+00
5.430000000000000382e-01,1.250554243863859716e+00,1.021228598667413667e+00
5.435000000000000941e-01,1.250554243863859716e+00,1.027558216834448368e+00
5.440000000000000391e-01,1.250554243863859716e+00,1.033887835001481736e+00
5.444999999999999840e-01,1.250554243863859716e+00,1.040217453168514883e+00
5.450000000000000400e-01,1.341859295573376576e+00,1.046547071335549584e+00
5.454999999999999849e-01,1.341859295573376576e+00,1.053033429534106613e+00
5.460000000000000409e-01,1.341859295573376576e+00,1.059519787732665197e+00
5.464999999999999858e-01,1.341859295573376576e+00,1.066006145931222227e+00
5.470000000000000417e-01,1.341859295573376576e+00,1.072492504129780810e+00
5.474999999999999867e-01,1.341859295573376576e+00,1.078978862328337840e+00
5.480000000000000426e-01,1.341859295573376576e+00,1.085465220526896424e+00
5.484999999999999876e-01,1.341859295573376576e+00,1.091951578725453453e+00
5.490000000000000435e-01,1.341859295573376576e+00,1.098437936924011815e+00
5.494999999999999885e-01,1.341859295573376576e+00,1.104924295122569067e+00
5.500000000000000444e-01,1.341859295573376576e+00,1.111410653321127651e+00
5.504999999999999893e-01,1.341859295573376576e+00,1.117897011519684458e+00
5.510000000000000453e-01,1.341859295573376576e+00,1.124383369718243042e+00
5.514999999999999902e-01,1.341859295573376576e+00,1.130869727916800072e+00
5.520000000000000462e-01,1.341859295573376576e+00,1.137356086115358433e+00
5.524999999999999911e-01,1.341859295573376576e+00,1.143842444313915685e+00
5.530000000000000471e-01,1.341859295573376576e+00,1.150328802512474269e+00
5.534999999999999920e-01,1.341859295573376576e+00,1.156815160711031298e+00
5.540000000000000480e-01,1.341859295573376576e+00,1.163301518909589882e+00
5.544999999999999929e-01,1.341859295573376576e+00,1.169787877108146912e+00
5.550000000000000488e-01,1.431486964775678050e+00,1.176274235306705496e+00
5.554999999999999938e-01,1.431486964775678050e+00,1.182865492171742972e+00
5.560000000000000497e-01,1.431486964775678050e+00,1.189456749036782224e+00
5.564999999999999947e-01,1.431486964775678050e+00,1.196048005901819700e+00
5.570000000000000506e-01,1.431486964775678050e+00,1.202639262766858730e+00
5.574999999999999956e-01,1.431486964775678050e+00,1.209230519631896206e+00
5.580000000000000515e-01,1.431486964775678050e+00,1.215821776496935458e+00
5.584999999999999964e-01,1.431486964775678050e+00,1.222413033361972934e+00
5.590000000000000524e-01,1.431486964775678050e+00,1.229004290227011964e+00
5.594999999999999973e-01,1.431486964775678050e+00,1.235595547092049662e+00
5.600000000000000533e-01,1.431486964775678050e+00,1.242186803957088914e+00
5.604999999999999982e-01,1.431486964775678050e+00,1.248778060822126390e+00
5.610000000000000542e-01,1.431486964775678050e+00,1.255369317687165420e+00
5.614999999999999991e-01,1.431486964775678050e+00,1.261960574552202896e+00
5.620000000000000551e-01,1.431486964775678050e+00,1.268551831417242148e+00
5.625000000000000000e-01,1.431486964775678050e+00,1.275143088282279846e+00
5.630000000000000560e-01,1.431486964775678050e+00,1.281734345147318876e+00
5.635000000000000009e-01,1.431486964775678050e+00,1.288325602012356352e+00
5.640000000000000568e-01,1.431486964775678050e+00,1.294916858877395383e+00
5.645000000000000018e-01,1.431486964775678050e+00,1.301508115742433080e+00
5.650000000000000577e-01,1.518796469120922588e+00,1.308099372607472111e+00
5.655000000000000027e-01,1.518796469120922588e+00,1.314743166593332013e+00
5.660000000000000586e-01,1.518796469120922588e+00,1.321386960579193026e+00
5.665000000000000036e-01,1.518796469120922588e+00,1.328030754565052707e+00
5.670000000000000595e-01,1.518796469120922588e+00,1.334674548550913720e+00
5.675000000000000044e-01,1.518796469120922588e+00,1.341318342536773400e+00
5.680000000000000604e-01,1.518796469120922588e+00,1.347962136522634857e+00
5.685000000000000053e-01,1.518796469120922588e+00,1.354605930508494538e+00
5.690000000000000613e-01,1.518796469120922588e+00,1.361249724494355551e+00
5.695000000000000062e-01,1.518796469120922588e+00,1.367893518480215453e+00
5.700000000000000622e-01,1.518796469120922588e+00,1.374537312466076688e+00
5.705000000000000071e-01,1.518796469120922588e+00,1.381181106451936147e+00
5.710000000000000631e-01,1.518796469120922588e+00,1.387824900437797382e+00
5.715000000000000080e-01,1.518796469120922588e+00,1.394468694423657062e+00
5.720000000000000639e-01,1.518796469120922588e+00,1.401112488409518297e+00
5.725000000000000089e-01,1.518796469120922588e+00,1.407756282395377978e+00
5.730000000000000648e-01,1.518796469120922588e+00,1.414400076381239213e+00
5.735000000000000098e-01,1.518796469120922588e+00,1.421043870367098894e+00
5.740000000000000657e-01,1.518796469120922588e+00,1.427687664352960129e+00
5.745000000000000107e-01,1.518796469120922588e+00,1.434331458338819809e+00
5.750000000000000666e-01,1.604265076074085528e+00,1.440975252324681044e+00
5.755000000000000115e-01,1.604265076074085528e+00,1.447620074353709096e+00
5.760000000000000675e-01,1.604265076074085528e+00,1.454264896382738925e+00
5.765000000000000124e-01,1.604265076074085528e+00,1.460909718411766978e+00
5.769999999999999574e-01,1.604265076074085528e+00,1.467554540440795474e+00
