z,DM_over_rd,DM_over_rd_jk_sigma,DH_over_rd,DH_over_rd_jk_sigma,dDM_over_rd_dz,dDM_over_rd_dz_jk_sigma,dDH_over_rd_dz,dDH_over_rd_dz_jk_sigma,d2DM_over_rd_dz2,d2DM_over_rd_dz2_jk_sigma,d2DH_over_rd_dz2,d2DH_over_rd_dz2_jk_sigma,S2,S2_formal_sigma,S1_pivot,S1_pivot_formal_sigma,S0_pivot,S0_pivot_formal_sigma
5.088888888888889461e-01,1.322117151709229965e+01,3.217448651581788499e-01,2.232920441626094643e+01,8.613810947579646493e-01,1.628132877036837556e+01,2.234071866187186117e+00,2.323023822567993779e+00,8.091936411829243170e+00,-3.421862011280499161e+00,4.331363753145541118e+00,-6.215470939563037689e+01,2.895360301856755214e+01,-2.352933654523864604e+00,4.915126931597691984e-01,2.806618972064630846e+00,1.153554462207354359e+00,4.319135842090990884e-01,3.496815617767187745e-01
5.127777777777777768e-01,1.328446330120041097e+01,3.179062780913800013e-01,2.233776834785117771e+01,8.436112678091293171e-01,1.626908557081777928e+01,2.221936068188628433e+00,2.081271463491921825e+00,7.985678611002589911e+00,-2.875249718759875339e+00,4.450308204960232494e+00,-6.217382384309177468e+01,2.922913686154748092e+01,-2.363272851633359206e+00,4.918539630912962535e-01,2.777339790430196409e+00,1.131772176982277722e+00,4.534182638088626316e-01,3.359952453819427531e-01
5.166666666666667185e-01,1.334771159725383249e+01,3.142503513477026278e-01,2.234539200576128692e+01,8.267590676550699014e-01,1.625896104689180888e+01,2.209318686740819437e+00,1.839459365566648019e+00,7.878491776256613122e+00,-2.332239588377503559e+00,4.569621638114124806e+00,-6.218543353552619379e+01,2.949735146719226009e+01,-2.374065216682890167e+00,4.923715350950521041e-01,2.748216428421976776e+00,1.110260789730967534e+00,4.743561097205806210e-01,3.227046851004588546e-01
5.205555555555555491e-01,1.341092461757427756e+01,3.107803030290410828e-01,2.235207521440186440e+01,8.108365250843747596e-01,1.625094139683149308e+01,2.196229231487743849e+00,1.597616697866176994e+00,7.770412524674401133e+00,-1.792725525329531111e+00,4.689179953563127334e+00,-6.218954697129819920e+01,2.975818493973366685e+01,-2.385328686046288560e+00,4.930767727498776010e-01,2.719241512051997489e+00,1.089011250257426511e+00,4.947387948861430296e-01,3.097997900536716420e-01
5.244444444444444908e-01,1.347411052160952849e+01,3.074989605186109753e-01,2.235781791155113751e+01,7.958534617398308475e-01,1.624501322938732883e+01,2.182677142768758127e+00,1.355772593777113233e+00,7.661478102572607085e+00,-1.256602500826004665e+00,4.808880775296863419e+00,-6.218617400483756086e+01,3.001157844833007715e+01,-2.397082061020769927e+00,4.939817807052240273e-01,2.690407691694159276e+00,1.068014608883174343e+00,5.145776740469313326e-01,2.972707948786927346e-01
5.283333333333333215e-01,1.353727741752185842e+01,3.044087288551354242e-01,2.236262014820589172e+01,7.818171917375987823e-01,1.624116355972512693e+01,2.168671807509547023e+00,1.113956145733618452e+00,7.551726409405425500e+00,-7.237665256478248432e-01,4.928640512463144496e+00,-6.217532584222243486e+01,3.025747618609339895e+01,-2.409345060732475119e+00,4.950994563080826638e-01,2.661707638984108115e+00,1.047262011540596394e+00,5.338837923753754211e-01,2.851082495405357631e-01
5.322222222222222632e-01,1.360043336376073597e+01,3.015115606321504549e-01,2.236648208841202390e+01,7.687322316592818394e-01,1.623937980543414383e+01,2.154222576076800344e+00,8.721963999700147463e-01,7.441196024628673023e+00,-1.941146240365445308e-01,5.048391831873484392e+00,-6.215701503647969162e+01,3.049582533248466731e+01,-2.422138378968872185e+00,4.964435459342805834e-01,2.633134043724129736e+00,1.026744694857274265e+00,5.526678938365437999e-01,2.733030090155538216e-01
5.361111111111112049e-01,1.366358637062023895e+01,2.988089280649449120e-01,2.236940400907469950e+01,7.566000284979211843e-01,1.623964978263607861e+01,2.139338780183462685e+00,6.305223512922611961e-01,7.329926237834114566e+00,3.324551920912757752e-01,5.168081484940655557e+00,-6.213125548260272524e+01,3.072657601867295440e+01,-2.435483745282372325e+00,4.980287047772578024e-01,2.604679610791307720e+00,1.006453982068022501e+00,5.709404292885527088e-01,2.618462239938470493e-01
5.400000000000000355e-01,1.372674440178144017e+01,2.963017978719394430e-01,2.237138629974822379e+01,7.454187157501870331e-01,1.624196170219375190e+01,2.124029751940247124e+00,3.889629378693454376e-01,7.217957082498704935e+00,8.560439486132603859e-01,5.287668439421185695e+00,-6.209806241228753976e+01,3.094968129549635094e+01,-2.449403990744460469e+00,4.998705618932502981e-01,2.576337057047103585e+00,9.863812780694493076e-01,5.887115643302370804e-01,2.507293315900445130e-01
5.438888888888888662e-01,1.378991537584037452e+01,2.939906095997946167e-01,2.237242946240568386e+01,7.351829079454557103e-01,1.624630416601820571e+01,2.108304844158797930e+00,1.475470360456544172e-01,7.105329373732766740e+00,1.376751734362070323e+00,5.407122272550151543e+00,-6.205745238838822075e+01,3.116509710370394615e+01,-2.463923118768640119e+00,5.019857890670033074e-01,2.548099108246565159e+00,9.665180646875664028e-01,6.059911869042636789e-01,2.399440460882426573e-01
