redshift_derivative_order,ell,s_Mpc_h,value,jackknife_sigma
0.000000000000000000e+00,2.000000000000000000e+00,8.600000000000000000e+01,-4.677459440663623777e-03,1.644275708295430717e-03
0.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+01,-6.626120303271428036e-03,1.674875060844501244e-03
0.000000000000000000e+00,2.000000000000000000e+00,9.400000000000000000e+01,-7.603811549536806068e-03,1.595994193508544576e-03
0.000000000000000000e+00,2.000000000000000000e+00,9.800000000000000000e+01,-2.900049841290250167e-03,1.343945959812256619e-03
0.000000000000000000e+00,2.000000000000000000e+00,1.020000000000000000e+02,-6.159752500801590411e-03,1.463529965088203452e-03
0.000000000000000000e+00,2.000000000000000000e+00,1.060000000000000000e+02,-3.714623958034546022e-03,1.478631063573740021e-03
0.000000000000000000e+00,2.000000000000000000e+00,1.100000000000000000e+02,-3.507774833225517624e-03,1.285891131075192961e-03
0.000000000000000000e+00,2.000000000000000000e+00,1.140000000000000000e+02,-2.919225113206688933e-03,1.340074990924014844e-03
0.000000000000000000e+00,2.000000000000000000e+00,1.180000000000000000e+02,-1.908559613264965062e-03,1.344824059576973669e-03
0.000000000000000000e+00,2.000000000000000000e+00,1.220000000000000000e+02,-4.520624207750472204e-03,1.101080248910497189e-03
0.000000000000000000e+00,2.000000000000000000e+00,1.260000000000000000e+02,-1.534731142786511246e-03,1.209528369968958976e-03
0.000000000000000000e+00,2.000000000000000000e+00,1.300000000000000000e+02,-1.810755390534654792e-03,1.140544951681488669e-03
0.000000000000000000e+00,2.000000000000000000e+00,1.340000000000000000e+02,-2.015033201923150351e-03,1.126086876083867878e-03
0.000000000000000000e+00,2.000000000000000000e+00,1.380000000000000000e+02,-1.742514074267788662e-03,1.115315045870844202e-03
0.000000000000000000e+00,2.000000000000000000e+00,1.420000000000000000e+02,-1.393922092468816154e-03,9.714339204846706441e-04
0.000000000000000000e+00,2.000000000000000000e+00,1.460000000000000000e+02,-2.684084259720494886e-03,1.055222517997705250e-03
0.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+02,-1.382916361489561034e-03,1.041582005039471109e-03
0.000000000000000000e+00,2.000000000000000000e+00,1.540000000000000000e+02,-1.444759185746902555e-03,1.023141288298997503e-03
0.000000000000000000e+00,2.000000000000000000e+00,1.580000000000000000e+02,-5.918121708810117516e-04,8.639806762199262781e-04
0.000000000000000000e+00,4.000000000000000000e+00,4.200000000000000000e+01,1.102367663809318641e-03,4.172480050424363582e-03
0.000000000000000000e+00,4.000000000000000000e+00,4.600000000000000000e+01,5.212463933958400714e-03,3.785618478617831274e-03
0.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+01,1.507580325698854723e-03,3.608735802152655131e-03
0.000000000000000000e+00,4.000000000000000000e+00,5.400000000000000000e+01,3.512823592908879099e-04,3.351125980268680402e-03
0.000000000000000000e+00,4.000000000000000000e+00,5.800000000000000000e+01,6.029559987992516232e-03,3.106947310695463375e-03
0.000000000000000000e+00,4.000000000000000000e+00,6.200000000000000000e+01,1.413031649641935221e-04,2.654233583569179725e-03
0.000000000000000000e+00,4.000000000000000000e+00,6.600000000000000000e+01,4.748511207637635782e-03,2.741093642938684499e-03
0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+01,-3.360059980071256232e-04,2.742168362175510191e-03
0.000000000000000000e+00,4.000000000000000000e+00,7.400000000000000000e+01,2.232763373155990071e-03,2.353768249664086720e-03
0.000000000000000000e+00,4.000000000000000000e+00,7.800000000000000000e+01,1.295925467473960004e-03,2.326028126328504898e-03
0.000000000000000000e+00,4.000000000000000000e+00,8.200000000000000000e+01,-5.678555403557682991e-04,2.285018693692282641e-03
0.000000000000000000e+00,4.000000000000000000e+00,8.600000000000000000e+01,1.919118515248448330e-03,2.105098269224015602e-03
0.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+01,5.472963371302145240e-03,2.090021804799171382e-03
0.000000000000000000e+00,4.000000000000000000e+00,9.400000000000000000e+01,8.951897019279990257e-04,2.297200672336599265e-03
0.000000000000000000e+00,4.000000000000000000e+00,9.800000000000000000e+01,3.657331205989754110e-03,1.912114648462365099e-03
0.000000000000000000e+00,4.000000000000000000e+00,1.020000000000000000e+02,2.321731900898538550e-03,1.905872055597265585e-03
0.000000000000000000e+00,4.000000000000000000e+00,1.060000000000000000e+02,1.154202137780615482e-03,1.503499636823102869e-03
0.000000000000000000e+00,4.000000000000000000e+00,1.100000000000000000e+02,4.760881663521809447e-04,1.600186918168583668e-03
